Player,Captain,Type,Team,Base,Owner,Price,Sale,Sold,Set,Overseas,Country,Batting,Bowling,Test Caps,ODI Caps,T20I Caps,IPL,2024 Team,2024 IPL,Cap/Un
Himmat Singh,,BAT,LSG,0.3,,,Unsold,0.3,8,,India,RHB,Right Arm Off Spin,,,,0,,,Uncapped
Ishan Kishan,,WK,SRH,2,Silly Pointers,12,Sold,11.25,1,,India,LHB,,2,27,32,104,MI,14,Capped
Ishant Sharma,,BOWL,GT,0.75,,,Unsold,0.75,5,,India,RHB,Right Arm Fast,105,80,14,109,DC,9,Capped
Jacob Bethell,,AR,RCB,1.25,,,Unsold,2.6,3,Y,,LHB,Left Arm Slow Orthodox,,6,2,,,,Capped
Jake Fraser-McGurk,,BAT,DC,2,Silly Pointers,12.5,Sold,9,1,Y,Australia,RHB,,,2,4,9,DC,9,Capped
Jamie Overton,,AR,CSK,1.5,,,Unsold,1.5,2,Y,England,RHB,Right Arm Fast,1,1,2,,,,Capped
Jasprit Bumrah,,BOWL,MI,3,Kingsmen,10,Sold,18,Marquee,,,,,,,,,,,Capped
Jayant Yadav,,AR,GT,0.75,,,Unsold,0.75,5,,India,RHB,Right Arm Off Spin,6,2,,20,GT,0,Capped
Jaydev Unadkat,,BOWL,SRH,1,,,Unsold,1,4,,India,RHB,Left Arm Fast Medium,4,8,10,105,SRH,11,Capped
Jitesh Sharma,,WK,RCB,1,,,Unsold,11,4,,India,RHB,,,,9,40,PBKS,14,Capped
Jofra Archer,,BOWL,RR,2,Sher-E-Punjab,2.5,Sold,12.5,1,Y,England,RHB,Right Arm Fast,13,25,26,40,,,Capped
Jos Buttler,,WK,GT,2,Sher-E-Punjab,15,Sold,15.75,1,Y,England,RHB,Right Arm Off Spin,57,181,124,107,RR,11,Capped
Josh Hazlewood,,BOWL,RCB,2,,,Unsold,12.5,1,Y,Australia,LHB,Right Arm Fast Medium,70,90,52,27,,,Capped
Josh Inglis,,WK,PK,2,Sher-E-Punjab,3,Sold,2.6,1,Y,Australia,RHB,,,23,26,,,,Capped
Kagiso Rabada,,BOWL,GT,2,Silly Pointers,8.6,Sold,10.75,1,Y,South Africa,RHB,Right Arm Fast,66,101,65,80,PBKS,11,Capped
Kamindu Mendis,,AR,SRH,0.75,,,Unsold,0.75,5,Y,Sri Lanka,LHB,Left Arm Slow Orthodox,8,10,19,,,,Capped
Kamlesh Nagarkoti,,AR,CSK,0.3,,,Unsold,0.3,8,,India,RHB,Right Arm Fast,,,,12,,,Uncapped
Karim Janat,,AR,GT,0.75,,,Unsold,0.75,5,Y,Afghanistan,RHB,Right Arm Fast Medium,2,3,66,,,,Capped
Karn Sharma,,BOWL,MI,0.5,Silly Pointers,1.1,Sold,0.5,6,,India,LHB,Right Arm Leg Spin,,,,84,RCB,9,Uncapped
Karun Nair,,BAT,DC,0.3,Silly Pointers,0.4,Sold,0.5,8,,India,RHB,Right Arm Off Spin,,,,76,,,Uncapped
Khaleel Ahmed,,BOWL,CSK,2,Kingsmen,6.6,Sold,4.8,1,,India,RHB,Left Arm Fast Medium,,11,18,57,DC,14,Capped
KL Rahul,,WK,DC,2,Kingsmen,20.5,Sold,14,1,,India,RHB,,53,77,72,132,LSG,14,Capped
Krishnan Shrijith,,WK,MI,0.3,,,Unsold,0.3,8,,India,LHB,,,,,,,,Uncapped
Krunal Pandya,,AR,RCB,2,Sher-E-Punjab,5,Sold,5.75,1,,India,LHB,Left Arm Slow Orthodox,,5,9,127,LSG,14,Capped
Kuldeep Sen,,BOWL,PK,0.75,,,Unsold,0.8,5,,India,RHB,Right Arm Fast,,1,,12,RR,3,Capped
Kuldeep Yadav,,BOWL,DC,3,Royal Smashers,5,Sold,13.25,Marquee,,,,,,,,,,,Capped
Kulwant Khejroliya,,BOWL,GT,0.3,,,Unsold,0.3,8,,India,LHB,Left Arm Fast Medium,,,,7,,,Uncapped
Kumar Kartikeya,,BOWL,RR,0.3,,,Unsold,0.3,8,,India,RHB,Left Arm Slow Orthodox,,,,12,MI,0,Uncapped
Kumar Kushagra,,WK,GT,0.3,,,Unsold,0.65,8,,India,RHB,,,,,0,GT,0,Uncapped
Kunal Singh Rathore,,WK,RR,0.3,,,Unsold,0.3,8,,India,LHB,Right Arm Off Spin,,,,0,RR,0,Uncapped
Kwena Maphaka,,BOWL,RR,0.75,,,Unsold,1.5,5,Y,South Africa,LHB,Left Arm Fast,,,3,2,MI,2,Capped
Liam Livingstone,,AR,RCB,2,Royal Smashers,5.2,Sold,8.75,1,Y,England,RHB,Right Arm Leg Spin,1,31,50,39,PBKS,7,Capped
Lockie Ferguson,,BOWL,PK,2,,,Unsold,2,1,Y,New Zealand,RHB,Right Arm Fast,1,65,42,45,RCB,7,Capped
Lungi Ngidi,,BOWL,RCB,1,,,Unsold,1,4,Y,South Africa,RHB,Right Arm Fast Medium,19,62,43,14,DC,0,Capped
Luvnith Sisodia,,WK,KKR,0.3,,,Unsold,0.3,8,,India,LHB,,,,,0,,,Uncapped
M Shahrukh Khan,,AR,GT,3,,,Unsold,4,Marquee,,,,,,,,,,,Uncapped
