Player,Captain,Type,Team,Base,Owner,Price,Sale,Sold,Set,Overseas,Country,Batting,Bowling,Test Caps,ODI Caps,T20I Caps,IPL,2024 Team,2024 IPL,Cap/Un
Quinton de Kock,,WK,KKR,2,Sher-E-Punjab,3,Sold,3.6,1,Y,South Africa,LHB,,54,155,92,107,LSG,11,Capped
Rachin Ravindra,,AR,CSK,1.5,Silly Pointers,1.5,Sold,4,2,Y,New Zealand,LHB,Left Arm Slow Orthodox,11,25,23,10,CSK,10,Capped
Rahmanullah Gurbaz,,WK,KKR,2,Silly Pointers,3,Sold,2,1,Y,Afghanistan,RHB,,1,43,63,14,KKR,3,Capped
Rahul Chahar,,BOWL,SRH,1,,,Unsold,3.2,4,,India,RHB,Right Arm Leg Spin,,1,6,78,PBKS,9,Capped
Rahul Tewatia,,AR,GT,3,Royal Smashers,3,Sold,4,Marquee,,,,,,,,,,,Uncapped
Rahul Tripathi,,BAT,CSK,0.75,Royal Smashers,2.9,Sold,3.4,5,,India,RHB,Right Arm Medium,,,5,95,SRH,6,Capped
Raj Bawa,,AR,MI,0.3,,,Unsold,0.3,8,,India,LHB,Right Arm Fast Medium,,,,2,,,Uncapped
Rajat Patidar,Captain,BAT,RCB,3,Sher-E-Punjab,4.1,Sold,11,Marquee,,,,,,,,,,,Capped
Rajvardhan Hangargekar,,AR,LSG,0.3,,,Unsold,0.3,8,,India,RHB,Right Arm Fast Medium,,,,2,CSK,0,Uncapped
Ramakrishna Ghosh,,AR,CSK,0.3,,,Unsold,0.3,8,,India,RHB,Right Arm Fast,,,,,,,Uncapped
Ramandeep Singh,,AR,KKR,3,,,Unsold,4,Marquee,,,,,,,,,,,Uncapped
Rashid Khan,,BOWL,GT,3,Royal Smashers,3,Sold,18,Marquee,Y,,,,,,,,,,Capped
Rasikh Salam,,BOWL,RCB,0.3,Silly Pointers,0.8,Sold,6,8,,India,RHB,Right Arm Fast Medium,,,,11,DC,8,Uncapped
Ravi Bishnoi,,BOWL,LSG,3,Kingsmen,3,Sold,11,Marquee,,,,,,,,,,,Capped
Ravichandran Ashwin,,AR,CSK,2,Silly Pointers,5.6,Sold,9.75,1,,India,RHB,Right Arm Off Spin,104,116,65,212,RR,15,Capped
Ravindra Jadeja,,AR,CSK,3,Royal Smashers,4.3,Sold,18,Marquee,,,,,,,,,,,Capped
Reece Topley,,BOWL,MI,0.75,,,Unsold,0.75,5,Y,England,RHB,Left Arm Fast,,29,34,5,RCB,4,Capped
Rinku Singh,,BAT,KKR,3,Royal Smashers,8.2,Sold,13,Marquee,,,,,,,,,,,Capped
Rishabh Pant,Captain,BAT,LSG,2,Royal Smashers,22.5,Sold,27,1,,India,LHB,Right Arm Off Spin,37,31,76,111,DC,13,Capped
Riyan Parag,,AR,RR,3,Sher-E-Punjab,4.9,Sold,14,Marquee,,,,,,,,,,,Capped
Robin Minz,,WK,MI,0.3,,,Unsold,0.65,8,,India,LHB,Right Arm Off Spin,,,,0,GT,0,Uncapped
Rohit Sharma,,BAT,MI,3,Kingsmen,20.5,Sold,16.3,Marquee,,,,,,,,,,,Capped
Romario Shepherd,,AR,RCB,1.5,,,Unsold,1.5,2,Y,West Indies,RHB,Right Arm Fast,,33,46,10,MI,6,Capped
Rovman Powell,,BAT,KKR,1.5,,,Unsold,1.5,2,Y,West Indies,RHB,Right Arm Fast Medium,,51,83,27,RR,10,Capped
Ruturaj Gaikwad,Captain,BAT,CSK,3,Sher-E-Punjab,13.5,Sold,18,Marquee,,,,,,,,,,,Capped
